precinct,office,party_detailed,party_simplified,mode,votes,county_name,county_fips,jurisdiction_name,jurisdiction_fips,candidate,district,magnitude,dataverse,year,stage,state,special,writein,state_po,state_fips,state_cen,state_ic,date,readme_check
DEERFIELD,TREASURER,,OTHER,TOTAL,1,ROCKINGHAM,33015,DEERFIELD,3301517460,WRITEIN,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,TRUE,NH,33,12,4,11/6/2018,FALSE
DEERFIELD,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,1105,ROCKINGHAM,33015,DEERFIELD,3301517460,SCOTT PRIESTLEY,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DEERING,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,323,HILLSBOROUGH,33011,DEERING,3301117780,WILLIAM BRYK,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DEERING,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,446,HILLSBOROUGH,33011,DEERING,3301117780,DAVID G FREDETTE,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DERRY,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,4922,ROCKINGHAM,33015,DERRY,3301517940,AHEARN,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DERRY,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,5702,ROCKINGHAM,33015,DERRY,3301517940,SCOTT PRIESTLEY,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DIXVILLE,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,1,COOS,33007,DIXVILLE TOW,3300718420,EMILY JACOBS,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DIXVILLE,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,4,COOS,33007,DIXVILLE TOW,3300718420,SUZANNE COLLINS,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DORCHESTER,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,68,GRAFTON,33009,DORCHESTER,3300918740,KEN HILL,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DOVER WARD 1,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,1577,STRAFFORD,33017,DOVER,3301718820,PAMELA J ARNOLD,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DOVER WARD 1,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,534,STRAFFORD,33017,DOVER,3301718820,PERIKLIS KAROUTAS,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DOVER WARD 2,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,1622,STRAFFORD,33017,DOVER,3301718820,PAMELA J ARNOLD,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DOVER WARD 2,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,604,STRAFFORD,33017,DOVER,3301718820,PERIKLIS KAROUTAS,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DOVER WARD 3,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,1686,STRAFFORD,33017,DOVER,3301718820,PAMELA J ARNOLD,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DOVER WARD 3,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,1099,STRAFFORD,33017,DOVER,3301718820,PERIKLIS KAROUTAS,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DOVER WARD 4,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,1513,STRAFFORD,33017,DOVER,3301718820,PAMELA J ARNOLD,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DOVER WARD 4,TREASURER,,OTHER,TOTAL,2,STRAFFORD,33017,DOVER,3301718820,WRITEIN,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,TRUE,NH,33,12,4,11/6/2018,FALSE
DOVER WARD 4,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,887,STRAFFORD,33017,DOVER,3301718820,PERIKLIS KAROUTAS,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DOVER WARD 5,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,1148,STRAFFORD,33017,DOVER,3301718820,PAMELA J ARNOLD,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DOVER WARD 5,TREASURER,,OTHER,TOTAL,1,STRAFFORD,33017,DOVER,3301718820,WRITEIN,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,TRUE,NH,33,12,4,11/6/2018,FALSE
DOVER WARD 5,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,728,STRAFFORD,33017,DOVER,3301718820,PERIKLIS KAROUTAS,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DOVER WARD 6,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,1091,STRAFFORD,33017,DOVER,3301718820,PAMELA J ARNOLD,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DOVER WARD 6,TREASURER,,OTHER,TOTAL,1,STRAFFORD,33017,DOVER,3301718820,WRITEIN,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,TRUE,NH,33,12,4,11/6/2018,FALSE
DOVER WARD 6,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,750,STRAFFORD,33017,DOVER,3301718820,PERIKLIS KAROUTAS,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DUBLIN,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,557,CHESHIRE,33005,DUBLIN,3300519140,TERRY M CLARK,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DUBLIN,TREASURER,LIBERTARIAN,LIBERTARIAN,TOTAL,104,CHESHIRE,33005,DUBLIN,3300519140,KENNETH KELLY,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DUBLIN,TREASURER,,OTHER,TOTAL,2,CHESHIRE,33005,DUBLIN,3300519140,WRITEIN,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,TRUE,NH,33,12,4,11/6/2018,FALSE
DUMMER,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,46,COOS,33007,DUMMER,3300719300,EMILY JACOBS,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DUMMER,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,68,COOS,33007,DUMMER,3300719300,SUZANNE COLLINS,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DUNBARTON,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,528,MERRIMACK,33013,DUNBARTON,3301319460,LEO R BERNIER,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DUNBARTON,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,874,MERRIMACK,33013,DUNBARTON,3301319460,DAVID KIDDER,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DURHAM,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,4704,STRAFFORD,33017,DURHAM,3301719700,PAMELA J ARNOLD,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
DURHAM,TREASURER,,OTHER,TOTAL,2,STRAFFORD,33017,DURHAM,3301719700,WRITEIN,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,TRUE,NH,33,12,4,11/6/2018,FALSE
DURHAM,TREASURER,REPUBLICAN,REPUBLICAN,TOTAL,1388,STRAFFORD,33017,DURHAM,3301719700,PERIKLIS KAROUTAS,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
EAST KINGSTON,TREASURER,DEMOCRAT,DEMOCRAT,TOTAL,519,ROCKINGHAM,33015,EAST KINGSTON,3301521380,AHEARN,,1,LOCAL,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
